                                  Package    Version
multitaper                     multitaper     1.0-15
munsell                           munsell      0.5.0
mvtnorm                           mvtnorm      1.1-3
neuralnet                       neuralnet     1.44.2
NHANES                             NHANES      2.1.0
nloptr                             nloptr      2.0.3
numDeriv                         numDeriv 2016.8-1.1
nycflights13                 nycflights13      1.0.2
oibiostat                       oibiostat      0.2.0
openintro                       openintro      2.4.0
openssl                           openssl      2.0.5
operator.tools             operator.tools      1.6.3
org.Hs.eg.db                 org.Hs.eg.db     3.16.0
packrat                           packrat      0.8.1
palmerpenguins             palmerpenguins      0.1.1
parallelly                     parallelly     1.33.0
parsnip                           parsnip      1.0.3
patchwork                       patchwork      1.1.2
pbapply                           pbapply      1.6-0
pbkrtest                         pbkrtest      0.5.1
pdxTrees                         pdxTrees      0.4.0
perm                                 perm    1.0-0.2
pheatmap                         pheatmap     1.0.12
pillar                             pillar      1.8.1
pkgbuild                         pkgbuild      1.4.0
pkgconfig                       pkgconfig      2.0.3
pkgdown                           pkgdown      2.0.7
pkgload                           pkgload      1.3.2
plogr                               plogr      0.2.0
plotly                             plotly     4.10.1
plyr                                 plyr      1.8.8
png                                   png      0.1-8
polyclip                         polyclip     1.10-4
polynom                           polynom      1.4-1
pracma                             pracma      2.4.2
praise                             praise      1.0.0
prettyunits                   prettyunits      1.1.1
pROC                                 pROC     1.18.0
processx                         processx      3.8.0
prodlim                           prodlim 2019.11.13
profvis                           profvis      0.3.7
progress                         progress      1.2.2
progressr                       progressr     0.13.0
promises                         promises    1.2.0.1
ProtGenerics                 ProtGenerics     1.30.0
proxy                               proxy     0.4-27
ps                                     ps      1.7.2
purrr                               purrr      1.0.1
quantmod                         quantmod     0.4.20
quantreg                         quantreg       5.94
R.matlab                         R.matlab      3.7.0
R.methodsS3                   R.methodsS3      1.8.2
R.oo                                 R.oo     1.25.0
R.utils                           R.utils     2.12.2
r2d3                                 r2d3      0.2.6
R6                                     R6      2.5.1
ragg                                 ragg      1.2.4
randomForest                 randomForest    4.7-1.1
RANN                                 RANN      2.6.1
rappdirs                         rappdirs      0.3.3
raster                             raster     3.6-13
rbibutils                       rbibutils     2.2.12
rcmdcheck                       rcmdcheck      1.4.0
RColorBrewer                 RColorBrewer      1.1-3
Rcpp                                 Rcpp      1.0.9
RcppAnnoy                       RcppAnnoy     0.0.20
